optimizer,loss,top1,seconds,state_mb,peak_gpu_mb,device,dataset
adamw,0.006091328337788582,0.958984375,2.672003291983856,0.8077239990234375,0.0,mps,mnist
fanosv2fast,0.0011646952480077744,0.95849609375,4.622569333005231,0.8076934814453125,0.0,mps,mnist
