optimizer,loss,top1,seconds,state_mb,peak_gpu_mb,device,dataset
adamw,0.04380914568901062,0.9677734375,2.8041305000078864,0.8077239990234375,0.0,mps,mnist
fanosv2,0.018981516361236572,0.97509765625,6.407591916999081,0.8076934814453125,0.0,mps,mnist
fanosv2fast,0.029288215562701225,0.97412109375,5.709247541992227,0.8076934814453125,0.0,mps,mnist
