optimizer,loss,top1,seconds,state_mb,peak_gpu_mb,device,dataset
adamw,1.363372802734375,0.50439453125,3.5489625000045635,1.0442962646484375,0.0,mps,cifar10
fanosv2fast,1.2302985191345215,0.52001953125,5.744765167008154,1.0442657470703125,0.0,mps,cifar10
