optimizer,loss,top1,seconds,state_mb,peak_gpu_mb,device,dataset,task,seed,config,lr,target_scale,momentum,thermostat_lr,preset
rmsprop,0.0683085173368454,0.8837579617834395,66.14362391699979,0.8077239990234375,0.0,cpu,fashionmnist,vision,4,baseline,,,,,
fanosv2,0.0879005491733551,0.9075437898089171,72.68494537500374,0.8076934814453125,0.0,cpu,fashionmnist,vision,4,low_lr,0.0005,0.1,0.85,0.003,default
fanosv2,0.05109701305627823,0.9004777070063694,73.0324489580089,0.8076934814453125,0.0,cpu,fashionmnist,vision,4,auto,0.001,0.1,0.85,0.003,auto
fanosv2,0.0417037196457386,0.9020700636942676,72.3888297079975,0.8076934814453125,0.0,cpu,fashionmnist,vision,4,stable,0.001,0.1,0.85,0.003,default
fanosv2,0.10752566158771515,0.9030652866242038,72.07786683399172,0.8076934814453125,0.0,cpu,fashionmnist,vision,4,vision_sweep_best,0.001,0.05,0.85,0.003,default
adamw,0.15718495845794678,0.8921178343949044,65.64914704099647,0.8077239990234375,0.0,cpu,fashionmnist,vision,5,baseline,,,,,
sgd,0.39893344044685364,0.8366839171974523,63.57504937500926,0.40384674072265625,0.0,cpu,fashionmnist,vision,5,baseline,,,,,
rmsprop,0.22107402980327606,0.8799761146496815,65.76362433300528,0.8077239990234375,0.0,cpu,fashionmnist,vision,5,baseline,,,,,
fanosv2,0.04653863236308098,0.9111265923566879,70.66339154200978,0.8076934814453125,0.0,cpu,fashionmnist,vision,5,low_lr,0.0005,0.1,0.85,0.003,default
fanosv2,0.08119124174118042,0.9054538216560509,71.7672462079936,0.8076934814453125,0.0,cpu,fashionmnist,vision,5,auto,0.001,0.1,0.85,0.003,auto
fanosv2,0.08651880919933319,0.9085390127388535,70.98668770799122,0.8076934814453125,0.0,cpu,fashionmnist,vision,5,stable,0.001,0.1,0.85,0.003,default
fanosv2,0.06518983840942383,0.9074442675159236,70.23619554200559,0.8076934814453125,0.0,cpu,fashionmnist,vision,5,vision_sweep_best,0.001,0.05,0.85,0.003,default
