optimizer,loss,top1,seconds,state_mb,device
adamw,0.7117156386375427,0.36666667461395264,0.042828042001929134,0.5528411865234375,cpu
sgd,0.6561038494110107,0.5,0.026970916005666368,0.27640533447265625,cpu
rmsprop,1.4350751638412476,0.30000001192092896,0.03130204099579714,0.5528411865234375,cpu
