optimizer,loss,top1,seconds,state_mb,peak_gpu_mb,device,dataset
adamw,0.006091328337788582,0.958984375,2.9885582090064418,0.8077239990234375,0.0,mps,mnist
fanosv2fast,0.0004440700286068022,0.97021484375,4.715753791999305,0.8076934814453125,0.0,mps,mnist
