optimizer,loss,top1,seconds,state_mb,peak_gpu_mb,device,task,seed,config,lr,target_scale,momentum,thermostat_lr
fanosv2,0.005232324358075857,0.9893511146496815,68.03837941700476,0.8076934814453125,0.0,cpu,vision,7,low_lr,0.0005,0.1,0.85,0.003
fanosv2,0.04086284339427948,0.9894506369426752,68.71003191699856,0.8076934814453125,0.0,cpu,vision,7,vision_sweep_best,0.001,0.05,0.85,0.003
fanosv2,0.0014913217164576054,0.9869625796178344,69.5411748750048,0.8076934814453125,0.0,cpu,vision,7,stable,0.001,0.1,0.85,0.003
adamw,0.0006778121460229158,0.9897492038216561,63.82431170799828,0.8077239990234375,0.0,cpu,vision,8,baseline,,,,
sgd,0.16260115802288055,0.9665605095541401,63.51430345799599,0.40384674072265625,0.0,cpu,vision,8,baseline,,,,
rmsprop,0.0014261752367019653,0.9814888535031847,66.49612187499588,0.8077239990234375,0.0,cpu,vision,8,baseline,,,,
fanosv2,0.0005340605275705457,0.9913415605095541,71.61875512498955,0.8076934814453125,0.0,cpu,vision,8,low_lr,0.0005,0.1,0.85,0.003
fanosv2,0.0009965653298422694,0.9906449044585988,70.1336617909983,0.8076934814453125,0.0,cpu,vision,8,vision_sweep_best,0.001,0.05,0.85,0.003
fanosv2,0.0004383152408991009,0.9899482484076433,69.42675933300052,0.8076934814453125,0.0,cpu,vision,8,stable,0.001,0.1,0.85,0.003
adamw,0.14089438319206238,0.9866640127388535,63.37653949999367,0.8077239990234375,0.0,cpu,vision,9,baseline,,,,
sgd,0.2325764149427414,0.96875,63.33679633399879,0.40384674072265625,0.0,cpu,vision,9,baseline,,,,
rmsprop,0.058299146592617035,0.9808917197452229,64.44439537500148,0.8077239990234375,0.0,cpu,vision,9,baseline,,,,
fanosv2,0.10961029678583145,0.9907444267515924,68.60087304199988,0.8076934814453125,0.0,cpu,vision,9,low_lr,0.0005,0.1,0.85,0.003
fanosv2,0.03215104714035988,0.9914410828025477,68.49535766700865,0.8076934814453125,0.0,cpu,vision,9,vision_sweep_best,0.001,0.05,0.85,0.003
fanosv2,0.16942080855369568,0.9893511146496815,69.1923367089912,0.8076934814453125,0.0,cpu,vision,9,stable,0.001,0.1,0.85,0.003
