optimizer,loss,top1,seconds,state_mb,peak_gpu_mb,device,dataset
adamw,0.19201970100402832,0.87890625,2.652947750000749,0.8077239990234375,0.0,mps,fashionmnist
fanosv2fast,0.1496565341949463,0.89013671875,4.397236082993913,0.8076934814453125,0.0,mps,fashionmnist
