task,optimizer,seed,final_loss,metric,seconds,state_mb,status
sequence_memory,fanosv2,0,2.2525644453708082e-05,1.0,4.725786833005259,0.0092926025390625,ok
sequence_memory,adamw,0,0.0002303405781276524,1.0,4.694468708999921,0.00931549072265625,ok
sequence_memory,sgd,0,0.6887397170066833,0.546875,4.5183365830016555,0.00464630126953125,ok
sequence_memory,rmsprop,0,0.6679231524467468,0.5390625,4.356122832992696,0.00931549072265625,ok
sequence_memory,fanosv2,1,1.8033966625807807e-05,1.0,3.9324339580052765,0.0092926025390625,ok
sequence_memory,adamw,1,3.673067476483993e-05,1.0,3.7566188750060974,0.00931549072265625,ok
sequence_memory,sgd,1,0.6869258284568787,0.5546875,3.689985874996637,0.00464630126953125,ok
sequence_memory,rmsprop,1,0.6872578263282776,0.5546875,3.733388000007835,0.00931549072265625,ok
sequence_memory,fanosv2,2,2.106256397382822e-05,1.0,3.939381832999061,0.0092926025390625,ok
sequence_memory,adamw,2,4.809792517335154e-05,1.0,3.7669757080002455,0.00931549072265625,ok
sequence_memory,sgd,2,0.6886942982673645,0.546875,3.6850920830038376,0.00464630126953125,ok
sequence_memory,rmsprop,2,0.687232494354248,0.546875,3.8228730829869164,0.00931549072265625,ok
