task,optimizer,seed,final_loss,metric,seconds,state_mb,status
rosenbrock100,fanosv2,0,18324.802734375,13.279464721679688,0.043831375005538575,0.000762939453125,ok
rosenbrock100,adamw,0,27016.916015625,13.872097969055176,0.02697437499591615,0.000766754150390625,ok
rosenbrock100,fanosv2,1,11839.044921875,12.355425834655762,0.039477500002249144,0.000762939453125,ok
rosenbrock100,adamw,1,18281.6796875,12.88890266418457,0.029181040998082608,0.000766754150390625,ok
poisson_pinn_1d,fanosv2,0,0.024709321558475494,0.00043012265814468265,0.20638012498966418,0.00879669189453125,ok
poisson_pinn_1d,adamw,0,0.031117770820856094,1.316653833782766e-05,0.14714141700824257,0.008819580078125,ok
poisson_pinn_1d,fanosv2,1,0.06767795979976654,7.73543506511487e-05,0.19849258300382644,0.00879669189453125,ok
poisson_pinn_1d,adamw,1,0.0063148075714707375,5.780539140687324e-07,0.13396666701009963,0.008819580078125,ok
sequence_memory,fanosv2,0,0.005762645974755287,1.0,1.0179943750117673,0.0092926025390625,ok
sequence_memory,adamw,0,0.0017541049746796489,1.0,0.9461371249926742,0.00931549072265625,ok
sequence_memory,fanosv2,1,0.6849851012229919,0.5546875,0.9853350420016795,0.0092926025390625,ok
sequence_memory,adamw,1,0.0002629720256663859,1.0,0.9363758340041386,0.00931549072265625,ok
