task,optimizer,n,loss_mean,metric_mean,seconds_mean,state_mb_mean,ok
rosenbrock100,fanosv2,2,87.3876724243164,9.350588321685791,0.09836156250094064,0.000762939453125,2
rosenbrock100,adamw,2,6253.39501953125,11.040173530578613,0.07394777049921686,0.000766754150390625,2
rosenbrock100,sgd,2,nan,nan,0.06922747899807291,0.0003814697265625,1
rosenbrock100,rmsprop,2,93.83765029907227,9.687895774841309,0.07138868749461835,0.000766754150390625,2
ill_conditioned_quadratic,fanosv2,2,1.3627756237983704,0.05574977956712246,0.0775953335032682,0.00390625,2
ill_conditioned_quadratic,adamw,2,0.02496448310557753,0.021154094487428665,0.05091950000496581,0.003910064697265625,2
ill_conditioned_quadratic,sgd,2,0.9347020387649536,10.102180004119873,0.041270895511843264,0.001953125,2
ill_conditioned_quadratic,rmsprop,2,0.24164773523807526,0.06987021490931511,0.04735256249841768,0.003910064697265625,2
noisy_small_regression,fanosv2,2,0.009004414780065417,0.046327272430062294,0.27614385450578993,0.00879669189453125,2
noisy_small_regression,adamw,2,0.008232421008870006,0.048274317756295204,0.1426730210077949,0.008819580078125,2
noisy_small_regression,sgd,2,0.4129849374294281,0.446110799908638,0.1030632079928182,0.004398345947265625,2
noisy_small_regression,rmsprop,2,0.0003767339512705803,0.05805544555187225,0.12864679149788572,0.008819580078125,2
ode_exp_fit,fanosv2,2,0.00011197150161024183,0.0058730244636535645,0.06851231300242944,7.62939453125e-06,2
ode_exp_fit,adamw,2,0.00011197149433428422,0.005873143672943115,0.049919667006179225,1.1444091796875e-05,2
ode_exp_fit,sgd,2,0.00012123492706450634,0.01855236291885376,0.041494249999232125,3.814697265625e-06,2
ode_exp_fit,rmsprop,2,0.00011606255429796875,0.0037157535552978516,0.048137937497813255,1.1444091796875e-05,2
poisson_pinn_1d,fanosv2,2,0.019689067266881466,0.0013555419718613848,0.5688892914986354,0.00879669189453125,2
poisson_pinn_1d,adamw,2,0.0034102462232112885,1.619862892709989e-07,0.4183581875040545,0.008819580078125,2
poisson_pinn_1d,sgd,2,0.004990320187062025,1.8332312734514744e-07,0.39633327099727467,0.004398345947265625,2
poisson_pinn_1d,rmsprop,2,0.0043108137615490705,0.0008868758304743096,0.4228100620020996,0.008819580078125,2
sequence_memory,fanosv2,2,2.7436726668383926e-06,1.0,3.2160270000022138,0.0092926025390625,2
sequence_memory,adamw,2,0.00013353562644624617,1.0,3.111112979000609,0.00931549072265625,2
sequence_memory,sgd,2,0.687832772731781,0.55078125,3.043060937001428,0.00464630126953125,2
sequence_memory,rmsprop,2,0.6775904893875122,0.546875,3.0619683539989637,0.00931549072265625,2
