task,optimizer,n,loss_mean,metric_mean,seconds_mean,state_mb_mean,ok
rosenbrock100,fanosv2,5,39.65963916778564,6.11188588142395,0.18873304999724497,0.000762939453125,5
rosenbrock100,adamw,5,1805.2704345703125,9.725046348571777,0.14422099179937503,0.000766754150390625,5
rosenbrock100,sgd,5,nan,nan,0.12460704979894217,0.0003814697265625,1
rosenbrock100,rmsprop,5,4.639177291607484,1.3595102647785098,0.13869594999705442,0.000766754150390625,5
ill_conditioned_quadratic,fanosv2,5,1.541851180791855,0.09483391903340817,0.14529335020342843,0.00390625,5
ill_conditioned_quadratic,adamw,5,7.433951684357526e-06,0.00026425727052270255,0.09942899139714427,0.003910064697265625,5
ill_conditioned_quadratic,sgd,5,0.42803797125816345,8.60749683380127,0.08196840799646452,0.001953125,5
ill_conditioned_quadratic,rmsprop,5,0.25029283165931704,0.0618449442088604,0.09483514979947358,0.003910064697265625,5
noisy_small_regression,fanosv2,5,0.00449759071925655,0.052417851984500885,0.552496058595716,0.00879669189453125,5
noisy_small_regression,adamw,5,0.00495434992481023,0.051491870731115344,0.28470719999750144,0.008819580078125,5
noisy_small_regression,sgd,5,0.33085940182209017,0.34626105427742004,0.20682456640060992,0.004398345947265625,5
noisy_small_regression,rmsprop,5,0.0008154655137332156,0.0596843384206295,0.26992354179674294,0.008819580078125,5
ode_exp_fit,fanosv2,5,0.0001051708502927795,0.007379841804504394,0.1358880829968257,7.62939453125e-06,5
ode_exp_fit,adamw,5,0.00010517086629988626,0.007379889488220215,0.1003149501979351,1.1444091796875e-05,5
ode_exp_fit,sgd,5,0.00010518224007682875,0.00747990608215332,0.08294625019771047,3.814697265625e-06,5
ode_exp_fit,rmsprop,5,0.00010644960857462138,0.00964498519897461,0.09569137480284554,1.1444091796875e-05,5
poisson_pinn_1d,fanosv2,5,0.04603765197098255,0.0007829136913642288,1.0743323834001786,0.00879669189453125,5
poisson_pinn_1d,adamw,5,0.001193278271239251,1.8634080056756375e-08,0.8107305581943365,0.008819580078125,5
poisson_pinn_1d,sgd,5,0.00288282698020339,5.138195504628129e-08,0.7348673750006128,0.004398345947265625,5
poisson_pinn_1d,rmsprop,5,0.008942463202401996,0.0005823531631904188,0.7901730499987025,0.008819580078125,5
sequence_memory,fanosv2,5,8.624044539828901e-07,1.0,6.31051769979822,0.0092926025390625,5
sequence_memory,adamw,5,2.1244851723167812e-05,1.0,6.052828816600959,0.00931549072265625,5
sequence_memory,sgd,5,0.6896108031272888,0.5390625,5.97706299200072,0.00464630126953125,5
sequence_memory,rmsprop,5,0.5379652481525227,0.6671875,6.012748033399111,0.00931549072265625,5
