task,optimizer,seed,final_loss,metric,seconds,state_mb,status
rosenbrock100,fanosv2,0,47.46958923339844,6.924802303314209,0.19766229200467933,0.000762939453125,ok
rosenbrock100,adamw,0,1942.6461181640625,9.681388854980469,0.146346249995986,0.000766754150390625,ok
rosenbrock100,sgd,0,nan,nan,0.12192462499660905,0.0003814697265625,nonfinite
rosenbrock100,rmsprop,0,4.831772804260254,2.373932361602783,0.137721708000754,0.000766754150390625,ok
rosenbrock100,fanosv2,1,42.751041412353516,6.578449249267578,0.18515404099889565,0.000762939453125,ok
rosenbrock100,adamw,1,1316.703125,9.695630073547363,0.14450724999187514,0.000766754150390625,ok
rosenbrock100,sgd,1,41.456581115722656,6.481943130493164,0.12766633300634567,0.0003814697265625,ok
rosenbrock100,rmsprop,1,0.0039034883957356215,0.056753791868686676,0.13742229199851863,0.000766754150390625,ok
rosenbrock100,fanosv2,2,6.691082954406738,2.7547338008880615,0.1886581250000745,0.000762939453125,ok
rosenbrock100,adamw,2,1505.3876953125,9.704605102539062,0.14199895900674164,0.000766754150390625,ok
rosenbrock100,sgd,2,nan,nan,0.12105954099388327,0.0003814697265625,nonfinite
rosenbrock100,rmsprop,2,0.007244466803967953,0.003214412834495306,0.13937279098900035,0.000766754150390625,ok
rosenbrock100,fanosv2,3,51.587890625,7.21240758895874,0.18200062499090564,0.000762939453125,ok
rosenbrock100,adamw,3,2285.036376953125,10.5866060256958,0.14380187500501052,0.000766754150390625,ok
rosenbrock100,sgd,3,nan,nan,0.12534654200135265,0.0003814697265625,nonfinite
rosenbrock100,rmsprop,3,18.347681045532227,4.360531806945801,0.13723824999760836,0.000766754150390625,ok
rosenbrock100,fanosv2,4,49.79859161376953,7.089036464691162,0.19019016699166968,0.000762939453125,ok
rosenbrock100,adamw,4,1976.578857421875,8.957001686096191,0.1444506249972619,0.000766754150390625,ok
rosenbrock100,sgd,4,nan,nan,0.1270382079965202,0.0003814697265625,nonfinite
rosenbrock100,rmsprop,4,0.005284653045237064,0.003118950640782714,0.1417247089993907,0.000766754150390625,ok
ill_conditioned_quadratic,fanosv2,0,3.0292723178863525,0.13111846148967743,0.14393474999815226,0.00390625,ok
ill_conditioned_quadratic,adamw,0,1.8975164321755056e-12,2.190453756156785e-07,0.09935612499248236,0.003910064697265625,ok
ill_conditioned_quadratic,sgd,0,0.45993515849113464,9.041947364807129,0.08150579099310562,0.001953125,ok
ill_conditioned_quadratic,rmsprop,0,0.2839829921722412,0.06449978053569794,0.09490129099867772,0.003910064697265625,ok
ill_conditioned_quadratic,fanosv2,1,0.6174846887588501,0.03023345209658146,0.14391245901060756,0.00390625,ok
