optimizer,loss,top1,seconds,state_mb,peak_gpu_mb,device
fanosv2,0.012079098261892796,0.9774084394904459,68.3418485000002,0.8076934814453125,0.0,cpu
adamw,0.00028566407854668796,0.988953025477707,64.70625004199974,0.8077239990234375,0.0,cpu
sgd,0.015189820900559425,0.9699442675159236,65.25192316700122,0.40384674072265625,0.0,cpu
rmsprop,0.0011420216178521514,0.9857683121019108,66.65654550000909,0.8077239990234375,0.0,cpu
