optimizer,loss,top1,seconds,state_mb,peak_gpu_mb
fanosv2,2.651646614074707,0.12890625,0.12823145800211933,0.8076934814453125,0.0
adamw,2.239827871322632,0.16796875,0.11276216599799227,0.8077239990234375,0.0
sgd,2.293581962585449,0.13671875,0.10744125000201166,0.40384674072265625,0.0
rmsprop,1.2470295429229736,0.59765625,0.10945316700963303,0.8077239990234375,0.0
