task,optimizer,n,loss_mean,metric_mean,seconds_mean,state_mb_mean,ok
rosenbrock100,fanosv2,2,15081.923828125,12.817445278167725,0.04165443750389386,0.000762939453125,2
rosenbrock100,adamw,2,22649.2978515625,13.380500316619873,0.02807770799699938,0.000766754150390625,2
poisson_pinn_1d,fanosv2,2,0.04619364067912102,0.0002537385043979157,0.2024363539967453,0.00879669189453125,2
poisson_pinn_1d,adamw,2,0.018716289196163416,6.872296125948196e-06,0.1405540420091711,0.008819580078125,2
sequence_memory,fanosv2,2,0.3453738735988736,0.77734375,1.0016647085067234,0.0092926025390625,2
sequence_memory,adamw,2,0.0010085385001730174,1.0,0.9412564794984064,0.00931549072265625,2
