task,optimizer,seed,final_loss,metric,seconds,state_mb,status
poisson_pinn_1d,fanosv2,0,0.003291955217719078,1.2710930263892806e-07,0.6952064579963917,0.00879669189453125,ok
poisson_pinn_1d,adamw,0,0.004137455951422453,2.8344746283437416e-07,0.5018114580016118,0.008819580078125,ok
poisson_pinn_1d,sgd,0,0.006491587031632662,3.0233931624934485e-07,0.44230483399587683,0.004398345947265625,ok
poisson_pinn_1d,rmsprop,0,0.0002533943043090403,2.455743378959596e-05,0.48383116599870846,0.008819580078125,ok
poisson_pinn_1d,fanosv2,1,0.002152703469619155,3.085443367467633e-08,0.6771449160005432,0.00879669189453125,ok
poisson_pinn_1d,adamw,1,0.002683036495000124,4.052511570762363e-08,0.5127957079967018,0.008819580078125,ok
poisson_pinn_1d,sgd,1,0.0034890533424913883,6.430693844095003e-08,0.43445841599896085,0.004398345947265625,ok
poisson_pinn_1d,rmsprop,1,0.0083682332187891,0.0017491942271590233,0.48333304200787097,0.008819580078125,ok
poisson_pinn_1d,fanosv2,2,0.0013412302359938622,2.4718502800169517e-08,0.6838779999961844,0.00879669189453125,ok
poisson_pinn_1d,adamw,2,0.004667202476412058,1.3484122973750345e-07,0.507861749996664,0.008819580078125,ok
poisson_pinn_1d,sgd,2,0.0022747828625142574,5.133021474534871e-08,0.44655799999600276,0.004398345947265625,ok
poisson_pinn_1d,rmsprop,2,0.0027643018402159214,0.0003262076643295586,0.49875191699538846,0.008819580078125,ok
