optimizer,loss,top1,seconds,state_mb,peak_gpu_mb,device,lr,target_scale,momentum,thermostat_lr
fanosv2,0.03185421973466873,0.93896484375,4.618140416991082,0.8076934814453125,0.0,cpu,0.001,0.05,0.85,0.003
fanosv2,0.01646614260971546,0.90087890625,4.58015645800333,0.8076934814453125,0.0,cpu,0.001,0.05,0.9,0.003
fanosv2,0.06347737461328506,0.8857421875,4.637665999995079,0.8076934814453125,0.0,cpu,0.001,0.1,0.85,0.003
fanosv2,0.1285194456577301,0.8916015625,4.7028358329989715,0.8076934814453125,0.0,cpu,0.001,0.1,0.9,0.003
fanosv2,0.07143126428127289,0.89306640625,4.642220749999979,0.8076934814453125,0.0,cpu,0.001,0.2,0.85,0.003
fanosv2,0.03765176981687546,0.8662109375,4.947880457999418,0.8076934814453125,0.0,cpu,0.001,0.2,0.9,0.003
fanosv2,2.262676477432251,0.1201171875,4.708103791999747,0.8076934814453125,0.0,cpu,0.002,0.05,0.85,0.003
fanosv2,2.2585716247558594,0.10009765625,4.679544915998122,0.8076934814453125,0.0,cpu,0.002,0.05,0.9,0.003
fanosv2,0.14187975227832794,0.81640625,4.733150125000975,0.8076934814453125,0.0,cpu,0.002,0.1,0.85,0.003
fanosv2,2.2576138973236084,0.10009765625,4.694989249997889,0.8076934814453125,0.0,cpu,0.002,0.1,0.9,0.003
fanosv2,2.2633912563323975,0.1201171875,4.654372916993452,0.8076934814453125,0.0,cpu,0.002,0.2,0.85,0.003
fanosv2,2.2619287967681885,0.1201171875,4.555531083999085,0.8076934814453125,0.0,cpu,0.002,0.2,0.9,0.003
fanosv2,2.2593860626220703,0.1201171875,4.581874292009161,0.8076934814453125,0.0,cpu,0.003,0.05,0.85,0.003
fanosv2,2.2553396224975586,0.10009765625,5.013933708003606,0.8076934814453125,0.0,cpu,0.003,0.05,0.9,0.003
fanosv2,2.2592458724975586,0.1201171875,4.568602167011704,0.8076934814453125,0.0,cpu,0.003,0.1,0.85,0.003
fanosv2,2.2551798820495605,0.10009765625,4.600932166998973,0.8076934814453125,0.0,cpu,0.003,0.1,0.9,0.003
fanosv2,2.2589516639709473,0.1201171875,4.57682083400141,0.8076934814453125,0.0,cpu,0.003,0.2,0.85,0.003
fanosv2,2.255173921585083,0.10009765625,4.630421415989986,0.8076934814453125,0.0,cpu,0.003,0.2,0.9,0.003
