task,optimizer,n,loss_mean,metric_mean,seconds_mean,state_mb_mean,ok
rosenbrock100,fanosv2,2,11811.35595703125,12.34229850769043,0.04083147949859267,0.000762939453125,2
rosenbrock100,adamw,2,22649.2978515625,13.380500316619873,0.028395291497872677,0.000766754150390625,2
poisson_pinn_1d,fanosv2,2,0.02241212408989668,0.0021357834339141846,0.19970329200441483,0.00879669189453125,2
poisson_pinn_1d,adamw,2,0.018716289196163416,6.872296125948196e-06,0.1414787499961676,0.008819580078125,2
sequence_memory,fanosv2,2,9.174715160042979e-05,1.0,0.9667659580009058,0.0092926025390625,2
sequence_memory,adamw,2,0.0010085385001730174,1.0,0.9058846045008977,0.00931549072265625,2
