task,optimizer,n,loss_mean,metric_mean,seconds_mean,state_mb_mean,ok
poisson_pinn_1d,fanosv2,1,0.008844084106385708,9.175388413495966e-07,2.70867295798962,0.00879669189453125,1
poisson_pinn_1d,adamw,1,0.010162429884076118,2.7713906547433e-06,0.837158415990416,0.008819580078125,1
poisson_pinn_1d,sgd,1,0.010871347039937973,1.268844698643079e-06,0.7056722920096945,0.004398345947265625,1
poisson_pinn_1d,rmsprop,1,5.382506060414016e-05,6.693055183859542e-06,0.8058313750079833,0.008819580078125,1
