task,optimizer,n,loss_mean,metric_mean,seconds_mean,state_mb_mean,ok
rosenbrock100,fanosv2,3,13.077986737092337,3.0362444147467613,0.12729893065989017,0.000762939453125,3
rosenbrock100,adamw,3,5797.19287109375,11.034959475199381,0.0969050413405057,0.000766754150390625,3
rosenbrock100,sgd,3,nan,nan,0.08446219433972146,0.0003814697265625,1
rosenbrock100,rmsprop,3,107.15869394938152,9.253094037373861,0.09357573632829978,0.000766754150390625,3
ill_conditioned_quadratic,fanosv2,3,2.135262350241343,0.2514885663986206,0.09061951366796468,0.00390625,3
ill_conditioned_quadratic,adamw,3,0.016664547273345914,0.01543848201011618,0.06252506967090692,0.003910064697265625,3
ill_conditioned_quadratic,sgd,3,0.8826160828272501,9.931010246276855,0.05102043099759612,0.001953125,3
ill_conditioned_quadratic,rmsprop,3,0.23953831692536673,0.07255953053633372,0.05945597232979102,0.003910064697265625,3
noisy_small_regression,fanosv2,3,0.0019829207255194583,0.05667378753423691,0.34455127800174523,0.00879669189453125,3
noisy_small_regression,adamw,3,0.009859379225720962,0.047125415255626045,0.18087895800029705,0.008819580078125,3
noisy_small_regression,sgd,3,0.4243515531222026,0.4464830756187439,0.12575151399748088,0.004398345947265625,3
noisy_small_regression,rmsprop,3,0.0003801539520888279,0.05826416487495104,0.1683869299934789,0.008819580078125,3
ode_exp_fit,fanosv2,3,0.00011051054995429392,0.004524509112040202,0.08963515266562656,7.62939453125e-06,3
ode_exp_fit,adamw,3,0.00011051053540237869,0.004524707794189453,0.06531516666776345,1.1444091796875e-05,3
ode_exp_fit,sgd,3,0.0001197344608954154,0.019403656323750813,0.05396123633545358,3.814697265625e-06,3
ode_exp_fit,rmsprop,3,0.00011331807521249478,0.002500335375467936,0.06228480600111652,1.1444091796875e-05,3
poisson_pinn_1d,fanosv2,3,0.03859988537927469,0.002543517912272364,0.678142763999252,0.00879669189453125,3
poisson_pinn_1d,adamw,3,0.003829231640944878,1.5293793609316708e-07,0.49934297233024455,0.008819580078125,3
poisson_pinn_1d,sgd,3,0.004085141078879436,1.393254898118812e-07,0.4405901940044714,0.004398345947265625,3
poisson_pinn_1d,rmsprop,3,0.003795309787771354,0.0006999864417593926,0.4863516803306993,0.008819580078125,3
sequence_memory,fanosv2,3,0.22959620562505734,0.8489583333333334,3.9804971246630885,0.0092926025390625,3
sequence_memory,adamw,3,0.00010505639268861462,1.0,3.815101305667971,0.00931549072265625,3
sequence_memory,sgd,3,0.6881199479103088,0.5494791666666666,3.6964957363331146,0.00464630126953125,3
sequence_memory,rmsprop,3,0.6808044910430908,0.546875,3.76925997233775,0.00931549072265625,3
