optimizer,loss,seconds,state_mb
fanosv2,0.0,0.149624457990285,0.015625
adamw,3.82173633017846e-12,0.10073679199558683,0.015628814697265625
sgd,0.32980817556381226,0.08463662498979829,0.0078125
rmsprop,0.0005716768791899085,0.09675870899809524,0.015628814697265625
