task,optimizer,seed,final_loss,metric,seconds,state_mb,status
poisson_pinn_1d,fanosv2,0,0.01091765332967043,2.2356462068273686e-06,0.7301557500031777,0.00879669189453125,ok
poisson_pinn_1d,adamw,0,0.004137455951422453,2.8344746283437416e-07,0.5226990420051152,0.008819580078125,ok
poisson_pinn_1d,sgd,0,0.006491587031632662,3.0233931624934485e-07,0.46951116700074635,0.004398345947265625,ok
poisson_pinn_1d,rmsprop,0,0.0002533943043090403,2.455743378959596e-05,0.5059812499966938,0.008819580078125,ok
poisson_pinn_1d,fanosv2,1,0.0007182059343904257,8.606729352322873e-06,0.6989980000071228,0.00879669189453125,ok
poisson_pinn_1d,adamw,1,0.002683036495000124,4.052511570762363e-08,0.5382667499943636,0.008819580078125,ok
poisson_pinn_1d,sgd,1,0.0034890533424913883,6.430693844095003e-08,0.48756566700467374,0.004398345947265625,ok
poisson_pinn_1d,rmsprop,1,0.0083682332187891,0.0017491942271590233,0.5063467500003753,0.008819580078125,ok
poisson_pinn_1d,fanosv2,2,0.0022900360636413097,5.2910712838638574e-05,0.7065964579960564,0.00879669189453125,ok
poisson_pinn_1d,adamw,2,0.004667202476412058,1.3484122973750345e-07,0.539745000001858,0.008819580078125,ok
poisson_pinn_1d,sgd,2,0.0022747828625142574,5.133021474534871e-08,0.46529929200187325,0.004398345947265625,ok
poisson_pinn_1d,rmsprop,2,0.0027643018402159214,0.0003262076643295586,0.5029637499974342,0.008819580078125,ok
