task,optimizer,seed,final_loss,metric,seconds,state_mb,status
rosenbrock100,fanosv2,0,14454.837890625,12.766520500183105,0.04600058399955742,0.000762939453125,ok
rosenbrock100,adamw,0,27016.916015625,13.872097969055176,0.028915457995026372,0.000766754150390625,ok
rosenbrock100,fanosv2,1,9167.8740234375,11.918076515197754,0.03566237499762792,0.000762939453125,ok
rosenbrock100,adamw,1,18281.6796875,12.88890266418457,0.02787512500071898,0.000766754150390625,ok
poisson_pinn_1d,fanosv2,0,0.020845741033554077,0.00398807879537344,0.20913229200232308,0.00879669189453125,ok
poisson_pinn_1d,adamw,0,0.031117770820856094,1.316653833782766e-05,0.14664795799762942,0.008819580078125,ok
poisson_pinn_1d,fanosv2,1,0.02397850714623928,0.00028348807245492935,0.19027429200650658,0.00879669189453125,ok
poisson_pinn_1d,adamw,1,0.0063148075714707375,5.780539140687324e-07,0.1363095419947058,0.008819580078125,ok
sequence_memory,fanosv2,0,0.00011111919593531638,1.0,0.9746874580014264,0.0092926025390625,ok
sequence_memory,adamw,0,0.0017541049746796489,1.0,0.8956908340041991,0.00931549072265625,ok
sequence_memory,fanosv2,1,7.237510726554319e-05,1.0,0.9588444580003852,0.0092926025390625,ok
sequence_memory,adamw,1,0.0002629720256663859,1.0,0.9160783749975963,0.00931549072265625,ok
