task,optimizer,seed,final_loss,metric,seconds,state_mb,status
rosenbrock100,fanosv2,0,89.77647399902344,9.477108001708984,0.10862566700961906,0.000762939453125,ok
rosenbrock100,adamw,0,7587.72705078125,11.331255912780762,0.07620429199596401,0.000766754150390625,ok
rosenbrock100,sgd,0,nan,nan,0.06755425001028925,0.0003814697265625,nonfinite
rosenbrock100,rmsprop,0,94.98020935058594,9.746788024902344,0.0716731249995064,0.000766754150390625,ok
rosenbrock100,fanosv2,1,84.99887084960938,9.224068641662598,0.09784208300698083,0.000762939453125,ok
rosenbrock100,adamw,1,4919.06298828125,10.749091148376465,0.07441208400996402,0.000766754150390625,ok
rosenbrock100,sgd,1,70.39640045166016,8.405768394470215,0.06523249999736436,0.0003814697265625,ok
rosenbrock100,rmsprop,1,92.6950912475586,9.629003524780273,0.07112549999146722,0.000766754150390625,ok
ill_conditioned_quadratic,fanosv2,0,5.424150466918945,11.292698860168457,0.07309195799462032,0.00390625,ok
ill_conditioned_quadratic,adamw,0,0.04788607731461525,0.03767896816134453,0.050067249991116114,0.003910064697265625,ok
ill_conditioned_quadratic,sgd,0,0.8313952684402466,10.307947158813477,0.04212466599710751,0.001953125,ok
ill_conditioned_quadratic,rmsprop,0,0.2812962532043457,0.07114923745393753,0.0491936249891296,0.003910064697265625,ok
ill_conditioned_quadratic,fanosv2,1,3.129981279373169,10.357328414916992,0.07689504200243391,0.00390625,ok
ill_conditioned_quadratic,adamw,1,0.0020428888965398073,0.004629220813512802,0.05099145800340921,0.003910064697265625,ok
ill_conditioned_quadratic,sgd,1,1.0380088090896606,9.89641284942627,0.04279220801254269,0.001953125,ok
ill_conditioned_quadratic,rmsprop,1,0.2019992172718048,0.06859119236469269,0.04906129201117437,0.003910064697265625,ok
noisy_small_regression,fanosv2,0,0.01426234096288681,0.04549022763967514,0.2857846669940045,0.00879669189453125,ok
noisy_small_regression,adamw,0,0.011465102434158325,0.049835335463285446,0.14795287500601262,0.008819580078125,ok
noisy_small_regression,sgd,0,0.42631101608276367,0.43481507897377014,0.10263649999978952,0.004398345947265625,ok
noisy_small_regression,rmsprop,0,0.0003437231935095042,0.06292314827442169,0.13877429100102745,0.008819580078125,ok
noisy_small_regression,fanosv2,1,0.01794627495110035,0.047075554728507996,0.28361924999626353,0.00879669189453125,ok
noisy_small_regression,adamw,1,0.004999739583581686,0.04671330004930496,0.14457141699676868,0.008819580078125,ok
noisy_small_regression,sgd,1,0.39965885877609253,0.45740652084350586,0.10511491700890474,0.004398345947265625,ok
noisy_small_regression,rmsprop,1,0.0004097447090316564,0.053187742829322815,0.13611895799112972,0.008819580078125,ok
ode_exp_fit,fanosv2,0,0.0028802796732634306,0.3007708787918091,0.07388479200017173,7.62939453125e-06,ok
ode_exp_fit,adamw,0,0.00011548630573088303,0.004999399185180664,0.05086237499199342,1.1444091796875e-05,ok
ode_exp_fit,sgd,0,0.00012434534437488765,0.02391064167022705,0.04322416700597387,3.814697265625e-06,ok
ode_exp_fit,rmsprop,0,0.0001163532433565706,0.003140091896057129,0.049388875006115995,1.1444091796875e-05,ok
ode_exp_fit,fanosv2,1,0.002993460977450013,0.2973358631134033,0.0733018750033807,7.62939453125e-06,ok
ode_exp_fit,adamw,1,0.0001084566829376854,0.006746888160705566,0.05162962499889545,1.1444091796875e-05,ok
ode_exp_fit,sgd,1,0.00011812450975412503,0.013194084167480469,0.04323195900360588,3.814697265625e-06,ok
ode_exp_fit,rmsprop,1,0.00011577186523936689,0.004291415214538574,0.04952104200492613,1.1444091796875e-05,ok
poisson_pinn_1d,fanosv2,0,0.028432782739400864,0.00014768584514968097,0.5704035410017241,0.00879669189453125,ok
poisson_pinn_1d,adamw,0,0.004137455951422453,2.8344746283437416e-07,0.41997524999896996,0.008819580078125,ok
poisson_pinn_1d,sgd,0,0.006491587031632662,3.0233931624934485e-07,0.3906702500098618,0.004398345947265625,ok
poisson_pinn_1d,rmsprop,0,0.0002533943043090403,2.455743378959596e-05,0.3976987499918323,0.008819580078125,ok
poisson_pinn_1d,fanosv2,1,0.010945351794362068,0.0025633980985730886,0.5533239590004086,0.00879669189453125,ok
poisson_pinn_1d,adamw,1,0.002683036495000124,4.052511570762363e-08,0.4206725000112783,0.008819580078125,ok
poisson_pinn_1d,sgd,1,0.0034890533424913883,6.430693844095003e-08,0.38350845899549313,0.004398345947265625,ok
poisson_pinn_1d,rmsprop,1,0.0083682332187891,0.0017491942271590233,0.4063242919946788,0.008819580078125,ok
sequence_memory,fanosv2,0,1.2619339941011276e-05,1.0,3.0724907080002595,0.0092926025390625,ok
sequence_memory,adamw,0,0.0002303405781276524,1.0,3.0196810829947935,0.00931549072265625,ok
sequence_memory,sgd,0,0.6887397170066833,0.546875,2.866333666999708,0.00464630126953125,ok
sequence_memory,rmsprop,0,0.6679231524467468,0.5390625,2.9780042500060517,0.00931549072265625,ok
sequence_memory,fanosv2,1,9.889667126117274e-06,1.0,3.1828884999995353,0.0092926025390625,ok
sequence_memory,adamw,1,3.673067476483993e-05,1.0,3.0391055830114055,0.00931549072265625,ok
sequence_memory,sgd,1,0.6869258284568787,0.5546875,2.9558714580052765,0.00464630126953125,ok
sequence_memory,rmsprop,1,0.6872578263282776,0.5546875,2.977775624996866,0.00931549072265625,ok
