task,optimizer,n,loss_mean,metric_mean,seconds_mean,state_mb_mean,ok
poisson_pinn_1d,fanosv2,3,0.0022619629744440317,6.08940797045913e-08,0.6854097913310397,0.00879669189453125,3
poisson_pinn_1d,adamw,3,0.003829231640944878,1.5293793609316708e-07,0.5074896386649925,0.008819580078125,3
poisson_pinn_1d,sgd,3,0.004085141078879436,1.393254898118812e-07,0.44110708333028015,0.004398345947265625,3
poisson_pinn_1d,rmsprop,3,0.003795309787771354,0.0006999864417593926,0.4886387083339893,0.008819580078125,3
