optimizer,loss,top1,seconds,state_mb,peak_gpu_mb,device,dataset,task,seed,config,lr,target_scale,momentum,thermostat_lr,preset
adamw,2.0017471313476562,0.376953125,0.23651441700349096,0.8077239990234375,0.0,cpu,fashionmnist,vision,0,baseline,,,,,
sgd,2.2882072925567627,0.103515625,0.21902124999905936,0.40384674072265625,0.0,cpu,fashionmnist,vision,0,baseline,,,,,
rmsprop,0.9815734028816223,0.642578125,0.22461425000801682,0.8077239990234375,0.0,cpu,fashionmnist,vision,0,baseline,,,,,
fanosv2,2.1467983722686768,0.4140625,0.2541654579981696,0.8076934814453125,0.0,cpu,fashionmnist,vision,0,auto,0.001,0.1,0.85,0.003,auto
fanosv2,1.3204840421676636,0.533203125,0.2571886249934323,0.8076934814453125,0.0,cpu,fashionmnist,vision,0,low_lr,0.0005,0.1,0.85,0.003,default
