optimizer,loss,top1,seconds,state_mb,peak_gpu_mb,device,dataset
adamw,0.04197491705417633,0.9883558917197452,62.28158995798731,0.8077239990234375,0.0,cpu,mnist
sgd,0.1315467655658722,0.9680533439490446,61.23097699999926,0.40384674072265625,0.0,cpu,mnist
rmsprop,0.03145481273531914,0.9850716560509554,62.830910874996334,0.8077239990234375,0.0,cpu,mnist
