task,optimizer,seed,final_loss,metric,seconds,state_mb,status
rosenbrock100,fanosv2,0,30.719642639160156,5.600940227508545,2.08135916700121,0.000762939453125,ok
rosenbrock100,adamw,0,1447.04296875,9.392080307006836,0.5264709999901243,0.000766754150390625,ok
rosenbrock100,sgd,0,nan,nan,0.43341274998965673,0.0003814697265625,nonfinite
rosenbrock100,rmsprop,0,0.008167855441570282,0.0036952728405594826,0.5156112909899093,0.000766754150390625,ok
rosenbrock100,fanosv2,1,45.47015380859375,6.780247688293457,2.0492431670136284,0.000762939453125,ok
rosenbrock100,adamw,1,1553.6239013671875,10.333817481994629,0.5256695409771055,0.000766754150390625,ok
rosenbrock100,sgd,1,43.1535758972168,6.610225200653076,0.4315676250262186,0.0003814697265625,ok
rosenbrock100,rmsprop,1,0.04982960224151611,0.354571133852005,0.5099307909840718,0.000766754150390625,ok
rosenbrock100,fanosv2,2,47.02983856201172,6.895089626312256,2.01175470801536,0.000762939453125,ok
rosenbrock100,adamw,2,1875.744873046875,10.275527000427246,0.5258384170010686,0.000766754150390625,ok
rosenbrock100,sgd,2,nan,nan,0.43371587499859743,0.0003814697265625,nonfinite
rosenbrock100,rmsprop,2,7.914173126220703,2.9523353576660156,0.5166368750215042,0.000766754150390625,ok
rosenbrock100,fanosv2,3,46.021484375,6.819368362426758,2.0449903330008965,0.000762939453125,ok
rosenbrock100,adamw,3,1606.13037109375,9.643301010131836,0.5146100000129081,0.000766754150390625,ok
rosenbrock100,sgd,3,43.415809631347656,6.629827499389648,0.4266057090135291,0.0003814697265625,ok
rosenbrock100,rmsprop,3,0.08561103045940399,0.47674795985221863,0.5079338749928866,0.000766754150390625,ok
rosenbrock100,fanosv2,4,2.9179434776306152,1.960961937904358,2.056941499991808,0.000762939453125,ok
rosenbrock100,adamw,4,1520.8115234375,7.974685192108154,0.5282532919954974,0.000766754150390625,ok
rosenbrock100,sgd,4,42.05583190917969,6.527530670166016,0.4345617920043878,0.0003814697265625,ok
rosenbrock100,rmsprop,4,0.011872353032231331,0.004237479530274868,0.517812292004237,0.000766754150390625,ok
ill_conditioned_quadratic,fanosv2,0,nan,nan,0.0,0.0,"error:NotImplementedError:The operator 'aten::logspace.out' is not currently implemented for the MPS device. If you want this op to be considered for addition please comment on https://github.com/pytorch/pytorch/issues/141287 and mention use-case, that resulted in missing op as well as commit hash a1cb3cc05d46d198467bebbb6e8fba50a325d4e7. As a temporary fix, you can set the environment variable `PYTORCH_ENABLE_MPS_FALLBACK=1` to use the CPU as a fallback for this op. WARNING: this will be slower than running natively on MPS."
ill_conditioned_quadratic,adamw,0,nan,nan,0.0,0.0,"error:NotImplementedError:The operator 'aten::logspace.out' is not currently implemented for the MPS device. If you want this op to be considered for addition please comment on https://github.com/pytorch/pytorch/issues/141287 and mention use-case, that resulted in missing op as well as commit hash a1cb3cc05d46d198467bebbb6e8fba50a325d4e7. As a temporary fix, you can set the environment variable `PYTORCH_ENABLE_MPS_FALLBACK=1` to use the CPU as a fallback for this op. WARNING: this will be slower than running natively on MPS."
ill_conditioned_quadratic,sgd,0,nan,nan,0.0,0.0,"error:NotImplementedError:The operator 'aten::logspace.out' is not currently implemented for the MPS device. If you want this op to be considered for addition please comment on https://github.com/pytorch/pytorch/issues/141287 and mention use-case, that resulted in missing op as well as commit hash a1cb3cc05d46d198467bebbb6e8fba50a325d4e7. As a temporary fix, you can set the environment variable `PYTORCH_ENABLE_MPS_FALLBACK=1` to use the CPU as a fallback for this op. WARNING: this will be slower than running natively on MPS."
ill_conditioned_quadratic,rmsprop,0,nan,nan,0.0,0.0,"error:NotImplementedError:The operator 'aten::logspace.out' is not currently implemented for the MPS device. If you want this op to be considered for addition please comment on https://github.com/pytorch/pytorch/issues/141287 and mention use-case, that resulted in missing op as well as commit hash a1cb3cc05d46d198467bebbb6e8fba50a325d4e7. As a temporary fix, you can set the environment variable `PYTORCH_ENABLE_MPS_FALLBACK=1` to use the CPU as a fallback for this op. WARNING: this will be slower than running natively on MPS."
ill_conditioned_quadratic,fanosv2,1,nan,nan,0.0,0.0,"error:NotImplementedError:The operator 'aten::logspace.out' is not currently implemented for the MPS device. If you want this op to be considered for addition please comment on https://github.com/pytorch/pytorch/issues/141287 and mention use-case, that resulted in missing op as well as commit hash a1cb3cc05d46d198467bebbb6e8fba50a325d4e7. As a temporary fix, you can set the environment variable `PYTORCH_ENABLE_MPS_FALLBACK=1` to use the CPU as a fallback for this op. WARNING: this will be slower than running natively on MPS."
ill_conditioned_quadratic,adamw,1,nan,nan,0.0,0.0,"error:NotImplementedError:The operator 'aten::logspace.out' is not currently implemented for the MPS device. If you want this op to be considered for addition please comment on https://github.com/pytorch/pytorch/issues/141287 and mention use-case, that resulted in missing op as well as commit hash a1cb3cc05d46d198467bebbb6e8fba50a325d4e7. As a temporary fix, you can set the environment variable `PYTORCH_ENABLE_MPS_FALLBACK=1` to use the CPU as a fallback for this op. WARNING: this will be slower than running natively on MPS."
ill_conditioned_quadratic,sgd,1,nan,nan,0.0,0.0,"error:NotImplementedError:The operator 'aten::logspace.out' is not currently implemented for the MPS device. If you want this op to be considered for addition please comment on https://github.com/pytorch/pytorch/issues/141287 and mention use-case, that resulted in missing op as well as commit hash a1cb3cc05d46d198467bebbb6e8fba50a325d4e7. As a temporary fix, you can set the environment variable `PYTORCH_ENABLE_MPS_FALLBACK=1` to use the CPU as a fallback for this op. WARNING: this will be slower than running natively on MPS."
