optimizer,loss,top1,seconds,state_mb,peak_gpu_mb,device,dataset
adamw,0.9657109379768372,0.50244140625,3.437175166007364,1.0442962646484375,0.0,mps,cifar10
fanosv2fast,0.7889586687088013,0.52734375,5.119872082985239,1.0442657470703125,0.0,mps,cifar10
